z,charge,chargesum
0.000000000000000000e+00,3.512849794779407246e-08,7.711923710649759448e-05
7.039139980729185175e-02,-3.512849794633155097e-08,7.711676436235403531e-05
1.407827996145837035e-01,-0.000000000000000000e+00,7.711676436235403531e-05
2.111741994218755691e-01,-0.000000000000000000e+00,7.711676436235403531e-05
2.815655992291674070e-01,-1.756424897292202190e-08,7.711552799028225573e-05
3.519569990364592726e-01,-0.000000000000000000e+00,7.711552799028225573e-05
4.223483988437511383e-01,1.756424897350703116e-07,7.712789171100034970e-05
4.927397986510430039e-01,-0.000000000000000000e+00,7.712789171100034970e-05
5.631311984583348140e-01,-0.000000000000000000e+00,7.712789171100034970e-05
6.335225982656267352e-01,-1.756424897350703116e-07,7.711552799028225573e-05
7.039139980729185453e-01,-0.000000000000000000e+00,7.711552799028225573e-05
7.743053978802103554e-01,-0.000000000000000000e+00,7.711552799028225573e-05
8.446967976875022766e-01,-0.000000000000000000e+00,7.711552799028225573e-05
9.150881974947941977e-01,-1.756424897389703623e-08,7.711429161821042194e-05
9.854795973020860078e-01,-0.000000000000000000e+00,7.711429161821042194e-05
1.055870997109377818e+00,1.756424897292202190e-08,7.711552799028218797e-05
1.126262396916669628e+00,-0.000000000000000000e+00,7.711552799028218797e-05
1.196653796723961660e+00,-0.000000000000000000e+00,7.711552799028218797e-05
1.267045196531253470e+00,-0.000000000000000000e+00,7.711552799028218797e-05
1.337436596338545280e+00,-0.000000000000000000e+00,7.711552799028218797e-05
1.407827996145837091e+00,-0.000000000000000000e+00,7.711552799028218797e-05
1.478219395953129123e+00,-1.756424897389703623e-08,7.711429161821035418e-05
1.548610795760420711e+00,-0.000000000000000000e+00,7.711429161821035418e-05
1.619002195567712521e+00,1.756424897389703623e-08,7.711552799028218797e-05
1.689393595375004553e+00,-0.000000000000000000e+00,7.711552799028218797e-05
1.759784995182296363e+00,-1.756424897389703623e-08,7.711429161821035418e-05
1.830176394989588395e+00,-0.000000000000000000e+00,7.711429161821035418e-05
1.900567794796879983e+00,-0.000000000000000000e+00,7.711429161821035418e-05
1.970959194604172016e+00,-1.756424897194701088e-08,7.711305524613865591e-05
2.041350594411464048e+00,-1.756424897340952907e-08,7.711181887406684922e-05
2.111741994218755636e+00,-1.756424896999698883e-08,7.711058250199530003e-05
2.182133394026047668e+00,-1.756424897389703623e-08,7.710934612992345269e-05
2.252524793833339256e+00,-0.000000000000000000e+00,7.710934612992345269e-05
2.322916193640631288e+00,-0.000000000000000000e+00,7.710934612992345269e-05
